01201C,017576,01FF01,017576,01FF01	01300C,015679,01FF01,015679,01FF01
01201C,017576,01201D	01300C,015679,01300D
01201D	01300D
01201D,015F91	01300D,019015
01300C,014E01,017576	01300C,0153EE,015679
01300C,0165B9,01624D	01300C,0165B9,017E94
01300C,016069,01FF01	01300C,0155EF,01FF01
01300C,016069,01FF0C	01300C,0155EF,01FF0C
01300C,016069,013002	01300C,0155EF,013002
01300C,016069,01FF1F	01300C,0155EF,01FF1F
01300C,015582	01300C,015582
01300C,018C61	01300C,0150CF
01300C,018C61,017259	01300C,018C61,017259
01300C,018C61,015F62	01300C,018C61,015F62
01300C,018C61,015F81	01300C,018C61,015FB5
01300C,018C61,015F81,01670D	01300C,018C61,015F81,01670D
01300C,018C61,015F81,016230	01300C,0150CF,015F81,016230
01300C,018C61,01677F	01300C,018C61,01677F
01300C,018C61,019650	01300C,018C61,019650
01300C,018C61,0168CB	01300C,018C61,0168CB
01300C,018C61,019F3B	01300C,018C61,019F3B
01300C,018C61,015FB5	01300C,018C61,015FB5
01300C,018C61,018072	01300C,018C61,018072
01300C,017576,01FF01	01300C,015679,01FF01
01300C,017576,01FF01,017576,01FF01	01300C,015679,01FF01,015679,01FF01
01300C,017576,01300D	01300C,015679,01300D
01FE41	01300C
01300D,015F91	01300D,019015
01FE42	01300D
0125A1,016253	015EDD,016253
0125A1,0162DA	015EDD,0162DA
0125A1,016BBA	015EDD,016BBA
0125A1,018146	019766,018146
0125A1,015693	015361,015693
0125A1,017E69	0197C1,017E69
0130,014F59	0130,019918
01FF10,014F59	01FF10,019918
0130,014F59,0188E1	0130,019918,0191CC
01FF10,014F59,0188E1	01FF10,019918,0191CC
0130,016D77,0188E1	0130,016D77,0191CC
01FF10,016D77,0188E1	01FF10,016D77,0191CC
0130,0188E1	0130,0191CC
01FF10,0188E1	01FF10,0191CC
0131,016D77,0188E1	0131,016D77,0191CC
01FF11,016D77,0188E1	01FF11,016D77,0191CC
0131,0188E1	0131,0191CC
01FF11,0188E1	01FF11,0191CC
0132,016D77,0188E1	0132,016D77,0191CC
01FF12,016D77,0188E1	01FF12,016D77,0191CC
0132,0188E1	0132,0191CC
01FF12,0188E1	01FF12,0191CC
0133,016D77,0188E1	0133,016D77,0191CC
01FF13,016D77,0188E1	01FF13,016D77,0191CC
0133,0188E1	0133,0191CC
01FF13,0188E1	01FF13,0191CC
0134,016D77,0188E1	0134,016D77,0191CC
01FF14,016D77,0188E1	01FF14,016D77,0191CC
0134,0188E1	0134,0191CC
01FF14,0188E1	01FF14,0191CC
0135,016D77,0188E1	0135,016D77,0191CC
01FF15,016D77,0188E1	01FF15,016D77,0191CC
0135,0188E1	0135,0191CC
01FF15,0188E1	01FF15,0191CC
0136,016D77,0188E1	0136,016D77,0191CC
01FF16,016D77,0188E1	01FF16,016D77,0191CC
0136,0188E1	0136,0191CC
01FF16,0188E1	01FF16,0191CC
0137,016D77,0188E1	0137,016D77,0191CC
01FF17,016D77,0188E1	01FF17,016D77,0191CC
0137,0188E1	0137,0191CC
01FF17,0188E1	01FF17,0191CC
0138,016D77,0188E1	0138,016D77,0191CC
01FF18,016D77,0188E1	01FF18,016D77,0191CC
0138,0188E1	0138,0191CC
01FF18,0188E1	01FF18,0191CC
0139,016D77,0188E1	0139,016D77,0191CC
01FF19,016D77,0188E1	01FF19,016D77,0191CC
0139,0188E1	0139,0191CC
01FF19,0188E1	01FF19,0191CC
0173,0169,016D,0173,0175,016E	016D,0169,016E,0167,016C,0169,0175
0153,0169,016D,0173,0175,016E	016D,0169,016E,0167,016C,0169,0175
0153,0169,016D,0153,0175,016E	016D,0169,016E,0167,016C,0169,0175
014E00,015927,014F19	014E00,015927,015925
014E00,015E72,014E8C,016DE8	014E00,014E7E,014E8C,016DE8
014E00,015E72,01571F,01532A	014E00,015E72,01571F,01532A
014E00,015E72,01800C,0176E1	014E00,014E7E,01800C,0176E1
014E00,015E72,015F1F,015B50	014E00,015E72,015F1F,015B50
014E00,015E72,015F1F,015144	014E00,015E72,015F1F,015144
014E00,015E72,015152,015973	014E00,015E72,015152,015973
014E00,015E72,015152,0190CE	014E00,015E72,015152,0190CE
014E00,015E72,014FBF	014E00,015E79,014FBF
014E00,015E72,0190E8,014E0B	014E00,015E72,0190E8,014E0B
014E00,015E72,015C31	014E00,015E79,015C31
014E00,01624B,015E72	014E00,01624B,015E79
014E00,01624B,015E72,018106	014E00,01624B,014E7E,018106
014E00,01624B,015E72,016DE8	014E00,01624B,014E7E,016DE8
014E00,016597,014E0A	014E00,019B25,014E0A
014E00,016597,014E0D	014E00,019B25,014E0D
014E00,016597,016597	014E00,016597,016597
014E00,016597,01518D,016597	014E00,019B25,01518D,019B25
014E00,016597,015230	014E00,019B25,015230
014E00,0165E5,01937E	014E00,0165E5,019418
014E00,0151FA,01597D,016232	014E00,019F63,01597D,016232
014E00,0151FA,014EAC,015287	014E00,019F63,014EAC,015287
014E00,0151FA,018A71,015287	014E00,019F63,018A71,015287
014E00,0151FA,0196FB,015F71	014E00,019F63,0196FB,015F71
014E00,0151FA,015287	014E00,019F63,015287
014E00,0151FA,015287,019662	014E00,0151FA,015287,019662
014E00,0151FA,016232	014E00,019F63,016232
014E00,0151FA,016232,019662	014E00,0151FA,016232,019662
014E00,01534A,0153EA	014E00,01534A,0153EA
014E00,0153EA	014E00,0196BB
014E00,0153EA,0153EA	014E00,0196BB,0196BB
014E00,0153EA,0153EA,016709	014E00,0196BB,0153EA,016709
014E00,0153EA,0153EA,015920	014E00,0196BB,0153EA,015920
